strategy,algorithm,candidate_count,target_count,reward,expected_reward,survival,risk_cost,time,planning_time,energy,feasible,pareto,selected
稳健,最近邻,50,5,8.45063,4.821926,0.26845905,1.315057,12.554887,0.000927,15.049334,True,False,False
稳健,贪心+2-opt,50,5,8.45063,4.948609,0.29933324,1.206198,11.782573,0.691879,13.510885,True,True,True
稳健,模拟退火,50,5,8.45063,4.948609,0.29933324,1.206198,11.782573,1.040185,13.510885,True,True,False
稳健,遗传算法,50,5,8.45063,4.948609,0.29933324,1.206198,11.782573,1.283404,13.510885,True,True,False
平衡,最近邻,60,6,16.49136,4.971783,0.00121422,6.713657,27.273479,0.001334,42.37677,True,False,False
平衡,贪心+2-opt,60,6,16.49136,5.109424,0.001303,6.643083,26.791456,1.186509,41.416581,True,True,False
平衡,模拟退火,60,6,16.49136,5.109424,0.001303,6.643083,26.791456,1.671987,41.416581,True,True,False
平衡,遗传算法,60,6,16.49136,5.109424,0.001303,6.643083,26.791456,2.392823,41.416581,True,True,False
高收益,最近邻,80,9,49.44071,5.939395,1.307e-05,11.245497,38.182216,0.002844,58.130975,True,False,False
高收益,贪心+2-opt,80,9,43.22013,6.179047,0.00013839,8.885425,37.636634,4.441803,57.044175,True,True,False
高收益,模拟退火,80,9,43.22013,6.179047,0.00013839,8.885425,37.636634,5.043446,57.044175,True,True,False
高收益,遗传算法,80,9,43.22013,6.179047,0.00013839,8.885425,37.636634,7.957245,57.044175,True,True,False
