uav_id,order,target_id,x,y,weight,local_risk
UAV-01,1,22,22.463,19.0,4.25295,0.067811
UAV-01,2,33,50.383,28.389,6.92143,0.222886
UAV-01,3,59,60.476,48.114,18.3113,0.452152
UAV-01,4,4,22.0,7.0,1.5288,0.027562
UAV-02,1,1,15.0,3.0,3.17348,0.010239
UAV-02,2,7,11.0,9.0,1.19737,0.03352
UAV-02,3,16,12.0,16.0,1.667,0.01664
UAV-02,4,42,12.0,35.0,1.98643,0.070511
UAV-02,5,44,8.0,37.0,1.64631,0.062035
UAV-02,6,75,9.0,63.452,3.65385,0.09218
UAV-02,7,91,6.565,75.526,8.04073,0.046695
UAV-03,1,58,26.115,46.431,13.34067,0.310757
UAV-03,2,39,40.597,33.38,17.15802,0.302315
UAV-03,3,37,76.129,33.593,19.23691,0.10394
UAV-03,4,87,112.487,72.942,26.51107,0.08192
UAV-03,5,55,88.0,46.947,9.87019,0.074233
UAV-04,1,119,8.0,106.543,16.92559,0.022304
UAV-04,2,150,5.0,139.501,6.01492,0.029767
UAV-04,3,93,86.981,78.727,37.52218,0.04414
UAV-04,4,205,32.493,190.071,12.18735,0.148016
UAV-04,5,215,69.974,197.436,14.02468,0.226359
UAV-04,6,314,7.476,323.833,50.01814,0.046518
UAV-04,7,326,18.985,332.426,41.32638,0.131906
UAV-04,8,300,92.544,299.045,27.8671,0.021838
UAV-04,9,287,98.0,289.753,15.89836,0.029304
UAV-04,10,268,48.961,260.66,22.55339,0.034443
UAV-04,11,266,39.429,257.079,19.02412,0.042011
UAV-05,1,167,5.44,159.674,43.24125,0.033442
UAV-05,2,181,13.422,167.92,35.70883,0.053757
UAV-05,3,164,47.541,158.871,47.25035,0.024491
UAV-05,4,173,68.012,176.222,239.96563,0.084004
UAV-05,5,159,81.984,157.0,109.93066,0.035957
UAV-05,6,165,59.423,154.648,9.60345,0.026233
UAV-05,7,185,86.001,172.535,49.88746,0.109352
UAV-05,8,102,162.543,96.792,85.80665,0.057547
UAV-05,9,149,188.55,139.835,111.39065,0.021004
UAV-05,10,203,107.438,190.037,29.91389,0.329503
UAV-05,11,257,62.494,249.579,59.79837,0.035985
UAV-05,12,278,17.063,272.984,57.27017,0.031415
UAV-05,13,307,55.432,315.844,98.15941,0.068807
UAV-05,14,292,60.063,296.642,94.57687,0.027887
UAV-05,15,318,92.006,334.652,157.99137,0.031451
UAV-05,16,352,100.469,363.243,179.89541,0.0299
UAV-05,17,291,146.445,293.58,85.62706,0.026726
UAV-05,18,271,162.508,267.115,36.17877,0.029396
UAV-05,19,241,126.549,231.672,53.33433,0.08187
UAV-05,20,275,124.0,272.77,22.16668,0.018654
UAV-05,21,270,72.5,266.402,26.1786,0.024923
UAV-05,22,202,46.555,189.43,21.24014,0.065162
UAV-05,23,122,43.978,111.418,49.40869,0.031967
UAV-05,24,169,36.0,157.416,13.89734,0.031587
UAV-05,25,211,11.545,194.468,18.44352,0.370206
